KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.2407,12.2407,0.000156542,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.46013,3.46013,0.000234636,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.32677,3.32677,0.000244083,0,0
1,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.53149,5.53149,0.000254215,0,0
1,1,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.30511,3.30511,0.000214831,0,0
1,1,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.27635,3.27635,0.00024509,0,0
2,1,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.48047,2.48047,0.000240848,0,0
4,1,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.80901,2.80901,0.000237672,0,0
8,1,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.6825,3.6825,0.000306017,0,0
2,2,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.29912,2.29912,0.000238662,0,0
2,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.23254,2.23254,0.000244952,0,0
2,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.17147,2.17147,0.000240994,0,0
2,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.17029,2.17029,0.000245541,0,0
2,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.17666,2.17666,0.000242215,0,0
2,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.1817,2.1817,0.000247841,0,0
