KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,2,2,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.42093,7.42093,0.000151827,0,0
8,8,4,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.53461,3.53461,0.000272597,0,0
1,2,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.59239,5.59239,0.00025069,0,0
4,2,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.3722,3.3722,0.000263417,0,0
2,4,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.94454,5.94454,0.000250189,0,0
2,2,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.0876,6.0876,0.000256269,0,0
2,1,10,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.5226,12.5226,0.000256344,0,0
2,2,1,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,13.8294,13.8294,0.000230866,0,0
8,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.68772,8.68772,0.000252736,0,0
8,8,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.35802,7.35802,0.000249228,0,0
2,8,2,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,10.4178,10.4178,0.000297628,0,0
2,1,10,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,13.8089,13.8089,0.00025101,0,0
4,2,4,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.33258,8.33258,0.000245209,0,0
8,4,1,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.22012,7.22012,0.000235294,0,0
8,1,2,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.44245,4.44245,0.000325601,0,0
1,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.47835,5.47835,0.00026742,0,0
4,2,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.27175,7.27175,0.000274897,0,0
8,4,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.35177,7.35177,0.00025255,0,0
1,1,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.3971,6.3971,0.000331073,0,0
2,8,1,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.63958,4.63958,0.000226199,0,0
4,2,4,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.49112,3.49112,0.00024433,0,0
