KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.6387,14.6387,0.000129136,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.12017,6.12017,0.000287712,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.6381,14.6381,0.000257807,0,0
1,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.7968,14.7968,0.000257785,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,11.5427,11.5427,0.000243178,0,0
1,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.0309,14.0309,0.000301938,0,0
1,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.6373,14.6373,0.000274163,0,0
1,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.6472,14.6472,0.000271313,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.37319,6.37319,0.000246206,0,0
1,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.03257,6.03257,0.00024922,0,0
2,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.86015,4.86015,0.00027037,0,0
1,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.88253,5.88253,0.000272078,0,0
1,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.12082,6.12082,0.000249777,0,0
1,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.13064,6.13064,0.000264948,0,0
2,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.73238,4.73238,0.000271747,0,0
2,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.93515,4.93515,0.00024316,0,0
4,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.60725,3.60725,0.000248276,0,0
2,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.79298,4.79298,0.000319255,0,0
2,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.85989,4.85989,0.000234707,0,0
2,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.8698,4.8698,0.000272458,0,0
4,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.10165,8.10165,0.00025404,0,0
4,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29046,3.29046,0.000257907,0,0
4,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.03228,4.03228,0.000256874,0,0
8,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.33394,4.33394,0.000247869,0,0
4,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.32113,3.32113,0.000243889,0,0
4,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.61744,3.61744,0.000270362,0,0
4,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.62971,3.62971,0.000246544,0,0
4,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.08715,8.08715,0.000282638,0,0
4,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.36877,4.36877,0.000312551,0,0
4,1,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.83175,3.83175,0.000253406,0,0
8,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.17033,4.17033,0.000246062,0,0
4,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.08005,3.08005,0.000242891,0,0
4,1,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.28977,3.28977,0.000241462,0,0
4,1,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29982,3.29982,0.0002462,0,0
4,2,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.25421,8.25421,0.000250295,0,0
4,2,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.02646,4.02646,0.000298363,0,0
4,2,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.36671,3.36671,0.000271304,0,0
8,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.62845,3.62845,0.000245779,0,0
2,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.66731,4.66731,0.000237598,0,0
