KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.4287,12.4287,0.000135396,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.27623,3.27623,0.000244851,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.4069,12.4069,0.000270872,0,0
1,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.2709,12.2709,0.000234718,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.85337,7.85337,0.000270031,0,0
1,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,11.8598,11.8598,0.000268523,0,0
1,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.2885,12.2885,0.00025402,0,0
1,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.1319,12.1319,0.000233305,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.18023,3.18023,0.000240757,0,0
1,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.21714,3.21714,0.000245681,0,0
2,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.37332,2.37332,0.000247743,0,0
1,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.12324,3.12324,0.000236211,0,0
1,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.27587,3.27587,0.000242183,0,0
1,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.28233,3.28233,0.000245317,0,0
2,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.31865,2.31865,0.000239902,0,0
2,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.42472,2.42472,0.000247616,0,0
4,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.60949,2.60949,0.000252036,0,0
2,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.18947,2.18947,0.000235238,0,0
2,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.37364,2.37364,0.000240714,0,0
2,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.38,2.38,0.000253561,0,0
2,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.02657,8.02657,0.000299438,0,0
2,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.14408,2.14408,0.000236806,0,0
2,2,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.18859,2.18859,0.00032175,0,0
4,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.25254,2.25254,0.000244046,0,0
2,4,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.07793,2.07793,0.000314097,0,0
2,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.18923,2.18923,0.000238973,0,0
2,2,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.19588,2.19588,0.000240187,0,0
2,4,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.70047,6.70047,0.00024698,0,0
2,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02698,2.02698,0.000248564,0,0
2,4,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.10783,2.10783,0.000301176,0,0
4,4,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.22871,2.22871,0.000242067,0,0
1,4,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.02786,3.02786,0.000239927,0,0
2,8,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02704,2.02704,0.000251276,0,0
2,4,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.07787,2.07787,0.000240836,0,0
2,4,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08454,2.08454,0.000249761,0,0
2,4,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.1563,6.1563,0.000244688,0,0
2,4,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.77744,2.77744,0.000240735,0,0
2,4,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.07267,2.07267,0.000244768,0,0
4,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.18453,2.18453,0.000269092,0,0
1,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.93725,2.93725,0.000268557,0,0
2,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.98423,1.98423,0.000264757,0,0
2,4,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02726,2.02726,0.000269059,0,0
2,4,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.03414,2.03414,0.000267481,0,0
2,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.51523,6.51523,0.000267588,0,0
2,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.72438,2.72438,0.000268915,0,0
2,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.01766,2.01766,0.000260835,0,0
4,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.10339,2.10339,0.000269432,0,0
1,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.87964,2.87964,0.000267719,0,0
2,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.98426,1.98426,0.000267344,0,0
2,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.99116,1.99116,0.000267142,0,0
