KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,2,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,14.9418,14.9418,0.000129604,0,0
1,1,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.95195,5.95195,0.00027213,0,0
1,1,2,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.27251,6.27251,0.000251531,0,0
1,1,2,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.0577,6.0577,0.000275836,0,0
1,1,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,11.3022,11.3022,0.000280615,0,0
1,1,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,10.9906,10.9906,0.000359731,0,0
1,1,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.89562,5.89562,0.000257735,0,0
2,1,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.85051,4.85051,0.000301155,0,0
4,1,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.52971,3.52971,0.000275474,0,0
8,1,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.56626,4.56626,0.000279278,0,0
4,2,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.33082,3.33082,0.000305511,0,0
4,4,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.25921,3.25921,0.000249501,0,0
4,8,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22334,3.22334,0.000246876,0,0
4,8,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22401,3.22401,0.000247049,0,0
4,8,4,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22416,3.22416,0.00029145,0,0
4,8,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24686,3.24686,0.000297652,0,0
4,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.21831,3.21831,0.000252895,0,0
4,8,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.18641,7.18641,0.000263947,0,0
4,8,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.57144,3.57144,0.000251341,0,0
4,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29459,3.29459,0.00029507,0,0
4,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.18722,3.18722,0.000254786,0,0
4,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.2561,4.2561,0.000236351,0,0
1,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.53936,5.53936,0.00032338,0,0
2,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.61879,4.61879,0.000248831,0,0
