KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,8,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02672,2.02672,0.000223036,0,0
2,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.72366,2.72366,0.000226199,0,0
2,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.15969,2.15969,0.000227193,0,0
2,8,10,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.60494,7.60494,0.000226547,0,0
2,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02547,2.02547,0.000224569,0,0
2,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02097,2.02097,0.000225381,0,0
2,8,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02549,2.02549,0.000220376,0,0
1,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.92715,2.92715,0.000223579,0,0
4,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.17169,2.17169,0.000224329,0,0
8,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.90786,2.90786,0.000221407,0,0
2,1,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.3784,2.3784,0.000230256,0,0
2,2,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.22682,2.22682,0.000221861,0,0
2,4,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08695,2.08695,0.000225023,0,0
2,8,2,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.09274,2.09274,0.000224038,0,0
2,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.05446,2.05446,0.000222796,0,0
2,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.5619,2.5619,0.000225179,0,0
2,8,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.03314,2.03314,0.00022275,0,0
2,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.72188,2.72188,0.000223449,0,0
2,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.15976,2.15976,0.000224943,0,0
2,8,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.6402,7.6402,0.000222695,0,0
